Table,Column,DataType,Description
DimGeography,GeographyKey,int64,
DimGeography,Region,object,
DimGeography,State,object,
DimGeography,City,object,
DimGeography,StateStandard,object,
DimStore,StoreKey,int64,
DimStore,StoreID,object,
DimStore,StoreName,object,
DimStore,StoreType,object,
DimStore,GeographyKey,int64,
DimStore,StoreSizeSqFt,int64,
DimStore,OpeningDate,datetime64[ns],
DimStore,Region,object,
DimStore,State,object,
DimStore,City,object,
DimEmployee,EmployeeKey,int64,
DimEmployee,EmployeeID,object,
DimEmployee,EmployeeName,object,
DimEmployee,Role,object,
DimEmployee,StoreKey,int64,
DimEmployee,HireDate,datetime64[ns],
DimEmployee,EmploymentStatus,object,
DimProduct,ProductKey,int64,
DimProduct,ProductID,object,
DimProduct,ProductName,object,
DimProduct,Category,object,
DimProduct,Subcategory,object,
DimProduct,Brand,object,
DimProduct,Supplier,object,
DimProduct,UnitCost,float64,
DimProduct,ListPrice,float64,
DimProduct,ProductLaunchDate,datetime64[ns],
DimProduct,ProductStatus,object,
DimCustomer,CustomerKey,int64,
DimCustomer,CustomerID,object,
DimCustomer,CustomerName,object,
DimCustomer,Gender,object,
DimCustomer,AgeGroup,object,
DimCustomer,GeographyKey,int64,
DimCustomer,SignupDate,datetime64[ns],
DimCustomer,CustomerSegment,object,
DimCustomer,Region,object,
DimCustomer,State,object,
DimCustomer,City,object,
DimCustomer,CustomerType,object,
DimPaymentMethod,PaymentMethodKey,int64,
DimPaymentMethod,PaymentMethod,object,
DimReturnReason,ReturnReasonKey,int64,
DimReturnReason,ReturnReason,object,
FactSales,SalesLineID,int64,
FactSales,OrderID,int64,
FactSales,OrderDate,datetime64[ns],
FactSales,CustomerKey,int64,
FactSales,ProductKey,int64,
FactSales,StoreKey,int64,
FactSales,EmployeeKey,int64,
FactSales,Quantity,int64,
FactSales,UnitPrice,float64,
FactSales,DiscountPct,float64,
FactSales,DiscountAmount,float64,
FactSales,SalesAmount,float64,
FactSales,UnitCost,float64,
FactSales,TotalCost,float64,
FactSales,ProfitAmount,float64,
FactSales,PaymentMethodKey,int64,
FactSales,PromotionKey,int64,
FactTargets,TargetKey,int64,
FactTargets,TargetMonth,datetime64[ns],
FactTargets,StoreKey,int64,
FactTargets,Category,object,
FactTargets,RevenueTarget,float64,
FactTargets,ProfitTarget,float64,
FactTargets,UnitsTarget,int64,
FactReturns,ReturnID,int64,
FactReturns,OrderID,int64,
FactReturns,ReturnDate,datetime64[ns],
FactReturns,CustomerKey,int64,
FactReturns,ProductKey,int64,
FactReturns,StoreKey,int64,
FactReturns,QuantityReturned,int64,
FactReturns,ReturnReasonKey,int64,
FactReturns,RefundAmount,float64
