CustomerKey,CustomerID,CustomerName,Gender,AgeGroup,GeographyKey,SignupDate,CustomerSegment,Region,State,City,CustomerType
1,CUST000001,Customer 000001,Male,18-24,7,2022-05-30,At Risk,North,Punjab,Ludhiana,Existing
2,CUST000002,Customer 000002,Male,25-34,11,2021-10-16,Occasional,West,Maharashtra,Nagpur,Existing
3,CUST000003,Customer 000003,Male,25-34,12,2021-07-20,Loyal,West,Gujarat,Ahmedabad,Existing
4,CUST000004,Customer 000004,Female,18-24,29,2025-03-23,Occasional,Central,Chhattisgarh,Raipur,Existing
5,CUST000005,Customer 000005,Female,18-24,11,2023-05-23,Loyal,West,Maharashtra,Nagpur,Existing
6,CUST000006,Customer 000006,Female,35-44,19,2022-10-29,Loyal,South,Tamil Nadu,Chennai,Existing
7,CUST000007,Customer 000007,Male,45-54,13,2023-02-08,Occasional,West,Gujarat,Surat,Existing
8,CUST000008,Customer 000008,Female,18-24,4,2021-06-17,Occasional,North,Uttar Pradesh,Noida,Existing
9,CUST000009,Customer 000009,Female,25-34,14,2023-07-03,Potential Loyalist,West,Goa,Panaji,Existing
10,CUST000010,Customer 000010,Female,18-24,12,2025-08-26,At Risk,West,Gujarat,Ahmedabad,New
11,CUST000011,Customer 000011,Female,25-34,27,2024-09-22,At Risk,East,Bihar,Patna,Existing
12,CUST000012,Customer 000012,Male,35-44,2,2024-08-11,Low Value,North,Uttar Pradesh,Lucknow,Existing
13,CUST000013,Customer 000013,Male,55+,8,2022-01-15,Occasional,North,Rajasthan,Jaipur,Existing
14,CUST000014,Customer 000014,Male,45-54,22,2023-11-01,Loyal,South,Andhra Pradesh,Vijayawada,Existing
15,CUST000015,Customer 000015,Female,25-34,19,2021-12-23,At Risk,South,Tamil Nadu,Chennai,Existing
16,CUST000016,Customer 000016,Male,35-44,13,2023-03-24,Loyal,West,Gujarat,Surat,Existing
17,CUST000017,Customer 000017,Female,25-34,21,2021-05-11,Loyal,South,Telangana,Hyderabad,Existing
18,CUST000018,Customer 000018,Male,25-34,21,2021-07-24,At Risk,South,Telangana,Hyderabad,Existing
19,CUST000019,Customer 000019,Male,45-54,28,2024-12-30,Low Value,East,Jharkhand,Ranchi,Existing
20,CUST000020,Customer 000020,Male,25-34,1,2021-11-12,Champions,North,Delhi,Delhi,Existing
21,CUST000021,Customer 000021,Female,25-34,29,2022-08-27,Potential Loyalist,Central,Chhattisgarh,Raipur,Existing
22,CUST000022,Customer 000022,Female,25-34,5,2024-08-30,Occasional,North,Uttar Pradesh,Varanasi,Existing
23,CUST000023,Customer 000023,Male,35-44,22,2022-05-01,Low Value,South,Andhra Pradesh,Vijayawada,Existing
24,CUST000024,Customer 000024,Male,25-34,26,2021-04-21,Occasional,East,Odisha,Bhubaneswar,Existing
25,CUST000025,Customer 000025,Male,35-44,26,2024-08-06,At Risk,East,Odisha,Bhubaneswar,Existing
26,CUST000026,Customer 000026,Female,25-34,27,2021-09-04,Low Value,East,Bihar,Patna,Existing
27,CUST000027,Customer 000027,Male,18-24,11,2022-02-16,Occasional,West,Maharashtra,Nagpur,Existing
28,CUST000028,Customer 000028,Male,35-44,11,2022-07-27,At Risk,West,Maharashtra,Nagpur,Existing
29,CUST000029,Customer 000029,Female,35-44,13,2022-03-26,Occasional,West,Gujarat,Surat,Existing
30,CUST000030,Customer 000030,Female,35-44,2,2023-06-08,Occasional,North,Uttar Pradesh,Lucknow,Existing
31,CUST000031,Customer 000031,Female,25-34,19,2025-07-04,Occasional,South,Tamil Nadu,Chennai,New
32,CUST000032,Customer 000032,Male,18-24,16,2024-12-15,Occasional,West,Madhya Pradesh,Bhopal,Existing
33,CUST000033,Customer 000033,Female,18-24,26,2024-11-24,Occasional,East,Odisha,Bhubaneswar,Existing
34,CUST000034,Customer 000034,Male,25-34,5,2025-01-19,Occasional,North,Uttar Pradesh,Varanasi,Existing
35,CUST000035,Customer 000035,Female,35-44,14,2023-01-14,Occasional,West,Goa,Panaji,Existing
36,CUST000036,Customer 000036,Male,25-34,29,2021-05-05,Loyal,Central,Chhattisgarh,Raipur,Existing
37,CUST000037,Customer 000037,Male,45-54,19,2025-10-05,Occasional,South,Tamil Nadu,Chennai,New
38,CUST000038,Customer 000038,Male,35-44,5,2023-07-30,Potential Loyalist,North,Uttar Pradesh,Varanasi,Existing
39,CUST000039,Customer 000039,Female,35-44,21,2025-12-12,Loyal,South,Telangana,Hyderabad,New
40,CUST000040,Customer 000040,Female,45-54,24,2021-09-17,Low Value,South,Kerala,Thiruvananthapuram,Existing
41,CUST000041,Customer 000041,Female,35-44,26,2022-06-19,Loyal,East,Odisha,Bhubaneswar,Existing
42,CUST000042,Customer 000042,Male,25-34,9,2025-10-02,Occasional,West,Maharashtra,Mumbai,New
43,CUST000043,Customer 000043,Female,25-34,24,2021-03-21,Occasional,South,Kerala,Thiruvananthapuram,Existing
44,CUST000044,Customer 000044,Male,18-24,12,2021-09-29,Occasional,West,Gujarat,Ahmedabad,Existing
45,CUST000045,Customer 000045,Male,35-44,16,2025-05-08,Loyal,West,Madhya Pradesh,Bhopal,Existing
46,CUST000046,Customer 000046,Male,35-44,19,2025-12-07,Loyal,South,Tamil Nadu,Chennai,New
47,CUST000047,Customer 000047,Male,35-44,15,2024-12-12,Loyal,West,Madhya Pradesh,Indore,Existing
48,CUST000048,Customer 000048,Male,35-44,17,2022-02-06,Champions,South,Karnataka,Bengaluru,Existing
49,CUST000049,Customer 000049,Female,25-34,15,2023-12-13,Potential Loyalist,West,Madhya Pradesh,Indore,Existing
50,CUST000050,Customer 000050,Male,25-34,3,2021-09-29,Occasional,North,Uttar Pradesh,Kanpur,Existing
51,CUST000051,Customer 000051,Female,25-34,17,2023-06-15,Loyal,South,Karnataka,Bengaluru,Existing
52,CUST000052,Customer 000052,Female,35-44,13,2021-08-16,Low Value,West,Gujarat,Surat,Existing
53,CUST000053,Customer 000053,Male,35-44,27,2025-09-12,Occasional,East,Bihar,Patna,New
54,CUST000054,Customer 000054,Male,45-54,9,2022-01-06,Occasional,West,Maharashtra,Mumbai,Existing
55,CUST000055,Customer 000055,Male,45-54,28,2022-12-13,Occasional,East,Jharkhand,Ranchi,Existing
56,CUST000056,Customer 000056,Male,25-34,13,2021-07-11,Potential Loyalist,West,Gujarat,Surat,Existing
57,CUST000057,Customer 000057,Male,25-34,16,2023-09-07,Occasional,West,Madhya Pradesh,Bhopal,Existing
58,CUST000058,Customer 000058,Male,18-24,19,2023-11-13,Low Value,South,Tamil Nadu,Chennai,Existing
59,CUST000059,Customer 000059,Male,35-44,14,2025-04-25,Occasional,West,Goa,Panaji,Existing
60,CUST000060,Customer 000060,Female,25-34,8,2024-09-21,Occasional,North,Rajasthan,Jaipur,Existing
61,CUST000061,Customer 000061,Female,55+,22,2024-06-07,Low Value,South,Andhra Pradesh,Vijayawada,Existing
62,CUST000062,Customer 000062,Male,35-44,19,2025-04-03,Occasional,South,Tamil Nadu,Chennai,Existing
63,CUST000063,Customer 000063,Female,35-44,25,2022-05-03,Potential Loyalist,East,West Bengal,Kolkata,Existing
64,CUST000064,Customer 000064,Male,18-24,24,2023-01-04,Champions,South,Kerala,Thiruvananthapuram,Existing
65,CUST000065,Customer 000065,Female,25-34,3,2024-04-02,Potential Loyalist,North,Uttar Pradesh,Kanpur,Existing
66,CUST000066,Customer 000066,Female,35-44,23,2024-12-17,Low Value,South,Kerala,Kochi,Existing
67,CUST000067,Customer 000067,Female,35-44,21,2024-10-15,Champions,South,Telangana,Hyderabad,Existing
68,CUST000068,Customer 000068,Male,35-44,18,2024-04-07,Loyal,South,Karnataka,Mysuru,Existing
69,CUST000069,Customer 000069,Male,25-34,16,2025-03-17,At Risk,West,Madhya Pradesh,Bhopal,Existing
70,CUST000070,Customer 000070,Female,35-44,14,2023-04-29,Potential Loyalist,West,Goa,Panaji,Existing
71,CUST000071,Customer 000071,Female,18-24,16,2021-12-14,Loyal,West,Madhya Pradesh,Bhopal,Existing
72,CUST000072,Customer 000072,Male,25-34,24,2023-02-05,At Risk,South,Kerala,Thiruvananthapuram,Existing
73,CUST000073,Customer 000073,Male,45-54,17,2024-05-07,Occasional,South,Karnataka,Bengaluru,Existing
74,CUST000074,Customer 000074,Male,18-24,20,2024-05-20,Occasional,South,Tamil Nadu,Coimbatore,Existing
75,CUST000075,Customer 000075,Female,35-44,11,2022-11-13,Potential Loyalist,West,Maharashtra,Nagpur,Existing
76,CUST000076,Customer 000076,Female,35-44,13,2024-03-21,Occasional,West,Gujarat,Surat,Existing
77,CUST000077,Customer 000077,Male,45-54,11,2022-07-31,Low Value,West,Maharashtra,Nagpur,Existing
78,CUST000078,Customer 000078,Male,45-54,28,2022-06-14,At Risk,East,Jharkhand,Ranchi,Existing
79,CUST000079,Customer 000079,Male,35-44,29,2024-01-19,Occasional,Central,Chhattisgarh,Raipur,Existing
80,CUST000080,Customer 000080,Male,25-34,4,2023-11-04,Potential Loyalist,North,Uttar Pradesh,Noida,Existing
81,CUST000081,Customer 000081,Female,25-34,29,2021-01-19,Low Value,Central,Chhattisgarh,Raipur,Existing
82,CUST000082,Customer 000082,Male,35-44,26,2024-01-11,Occasional,East,Odisha,Bhubaneswar,Existing
83,CUST000083,Customer 000083,Male,45-54,14,2025-11-20,Low Value,West,Goa,Panaji,New
84,CUST000084,Customer 000084,Male,35-44,5,2022-09-13,Loyal,North,Uttar Pradesh,Varanasi,Existing
85,CUST000085,Customer 000085,Male,18-24,4,2025-03-23,Occasional,North,Uttar Pradesh,Noida,Existing
86,CUST000086,Customer 000086,Female,35-44,1,2021-01-02,Low Value,North,Delhi,Delhi,Existing
87,CUST000087,Customer 000087,Female,18-24,14,2024-07-10,Potential Loyalist,West,Goa,Panaji,Existing
88,CUST000088,Customer 000088,Female,35-44,7,2025-04-13,Low Value,North,Punjab,Ludhiana,Existing
89,CUST000089,Customer 000089,Female,18-24,10,2025-02-22,Potential Loyalist,West,Maharashtra,Pune,Existing
90,CUST000090,Customer 000090,Female,45-54,27,2021-12-03,Potential Loyalist,East,Bihar,Patna,Existing
91,CUST000091,Customer 000091,Female,25-34,2,2021-10-13,At Risk,North,Uttar Pradesh,Lucknow,Existing
92,CUST000092,Customer 000092,Male,18-24,10,2021-09-11,Potential Loyalist,West,Maharashtra,Pune,Existing
93,CUST000093,Customer 000093,Female,45-54,3,2022-08-20,Occasional,North,Uttar Pradesh,Kanpur,Existing
94,CUST000094,Customer 000094,Female,25-34,21,2025-02-17,Potential Loyalist,South,Telangana,Hyderabad,Existing
95,CUST000095,Customer 000095,Male,35-44,8,2024-05-09,Occasional,North,Rajasthan,Jaipur,Existing
96,CUST000096,Customer 000096,Male,25-34,10,2024-08-08,At Risk,West,Maharashtra,Pune,Existing
97,CUST000097,Customer 000097,Male,25-34,8,2024-07-25,Champions,North,Rajasthan,Jaipur,Existing
98,CUST000098,Customer 000098,Male,25-34,14,2024-09-20,Loyal,West,Goa,Panaji,Existing
99,CUST000099,Customer 000099,Male,25-34,18,2025-06-02,Low Value,South,Karnataka,Mysuru,Existing
100,CUST000100,Customer 000100,Male,25-34,9,2024-12-05,At Risk,West,Maharashtra,Mumbai,Existing
101,CUST000101,Customer 000101,Female,25-34,22,2024-05-18,Low Value,South,Andhra Pradesh,Vijayawada,Existing
102,CUST000102,Customer 000102,Female,25-34,9,2022-09-30,Potential Loyalist,West,Maharashtra,Mumbai,Existing
103,CUST000103,Customer 000103,Female,25-34,4,2023-10-31,Occasional,North,Uttar Pradesh,Noida,Existing
104,CUST000104,Customer 000104,Male,45-54,3,2024-06-17,Low Value,North,Uttar Pradesh,Kanpur,Existing
105,CUST000105,Customer 000105,Female,35-44,14,2025-12-19,Potential Loyalist,West,Goa,Panaji,New
106,CUST000106,Customer 000106,Male,25-34,14,2023-07-08,Low Value,West,Goa,Panaji,Existing
107,CUST000107,Customer 000107,Male,18-24,21,2023-03-31,Champions,South,Telangana,Hyderabad,Existing
108,CUST000108,Customer 000108,Female,35-44,16,2024-04-08,Occasional,West,Madhya Pradesh,Bhopal,Existing
109,CUST000109,Customer 000109,Female,25-34,5,2022-11-12,Potential Loyalist,North,Uttar Pradesh,Varanasi,Existing
110,CUST000110,Customer 000110,Male,35-44,20,2023-03-27,Occasional,South,Tamil Nadu,Coimbatore,Existing
111,CUST000111,Customer 000111,Male,55+,29,2023-04-17,Loyal,Central,Chhattisgarh,Raipur,Existing
112,CUST000112,Customer 000112,Male,35-44,23,2023-08-05,Potential Loyalist,South,Kerala,Kochi,Existing
113,CUST000113,Customer 000113,Male,25-34,24,2022-04-18,Champions,South,Kerala,Thiruvananthapuram,Existing
114,CUST000114,Customer 000114,Male,35-44,15,2025-11-28,Potential Loyalist,West,Madhya Pradesh,Indore,New
115,CUST000115,Customer 000115,Male,45-54,21,2022-04-17,Potential Loyalist,South,Telangana,Hyderabad,Existing
116,CUST000116,Customer 000116,Female,45-54,9,2025-11-21,Potential Loyalist,West,Maharashtra,Mumbai,New
117,CUST000117,Customer 000117,Female,35-44,7,2022-11-27,Low Value,North,Punjab,Ludhiana,Existing
118,CUST000118,Customer 000118,Female,18-24,13,2021-08-17,Loyal,West,Gujarat,Surat,Existing
119,CUST000119,Customer 000119,Male,35-44,29,2024-12-02,At Risk,Central,Chhattisgarh,Raipur,Existing
120,CUST000120,Customer 000120,Female,25-34,23,2024-11-23,Potential Loyalist,South,Kerala,Kochi,Existing
121,CUST000121,Customer 000121,Other,25-34,8,2024-05-11,Loyal,North,Rajasthan,Jaipur,Existing
122,CUST000122,Customer 000122,Male,25-34,12,2025-09-04,Potential Loyalist,West,Gujarat,Ahmedabad,New
123,CUST000123,Customer 000123,Female,18-24,4,2025-06-05,Low Value,North,Uttar Pradesh,Noida,Existing
124,CUST000124,Customer 000124,Male,25-34,16,2021-02-18,At Risk,West,Madhya Pradesh,Bhopal,Existing
125,CUST000125,Customer 000125,Male,45-54,26,2022-12-28,Champions,East,Odisha,Bhubaneswar,Existing
126,CUST000126,Customer 000126,Female,45-54,29,2025-09-09,Loyal,Central,Chhattisgarh,Raipur,New
127,CUST000127,Customer 000127,Male,25-34,29,2023-08-22,Occasional,Central,Chhattisgarh,Raipur,Existing
128,CUST000128,Customer 000128,Male,25-34,6,2024-01-24,Potential Loyalist,North,Haryana,Gurugram,Existing
129,CUST000129,Customer 000129,Male,18-24,5,2021-04-28,Low Value,North,Uttar Pradesh,Varanasi,Existing
130,CUST000130,Customer 000130,Female,35-44,1,2022-09-02,At Risk,North,Delhi,Delhi,Existing
131,CUST000131,Customer 000131,Male,18-24,14,2024-01-03,Low Value,West,Goa,Panaji,Existing
132,CUST000132,Customer 000132,Male,35-44,29,2021-02-06,Loyal,Central,Chhattisgarh,Raipur,Existing
133,CUST000133,Customer 000133,Male,25-34,9,2024-09-15,Loyal,West,Maharashtra,Mumbai,Existing
134,CUST000134,Customer 000134,Male,35-44,18,2024-12-20,Low Value,South,Karnataka,Mysuru,Existing
135,CUST000135,Customer 000135,Male,55+,6,2021-07-06,Potential Loyalist,North,Haryana,Gurugram,Existing
136,CUST000136,Customer 000136,Male,25-34,15,2024-11-08,Potential Loyalist,West,Madhya Pradesh,Indore,Existing
137,CUST000137,Customer 000137,Female,18-24,16,2022-04-04,Occasional,West,Madhya Pradesh,Bhopal,Existing
138,CUST000138,Customer 000138,Female,25-34,8,2023-09-18,Potential Loyalist,North,Rajasthan,Jaipur,Existing
139,CUST000139,Customer 000139,Male,18-24,19,2023-02-17,Low Value,South,Tamil Nadu,Chennai,Existing
140,CUST000140,Customer 000140,Female,25-34,5,2025-11-06,Low Value,North,Uttar Pradesh,Varanasi,New
141,CUST000141,Customer 000141,Female,18-24,14,2023-05-20,Potential Loyalist,West,Goa,Panaji,Existing
142,CUST000142,Customer 000142,Male,35-44,7,2024-08-25,Loyal,North,Punjab,Ludhiana,Existing
143,CUST000143,Customer 000143,Female,25-34,4,2024-12-20,Champions,North,Uttar Pradesh,Noida,Existing
144,CUST000144,Customer 000144,Male,35-44,28,2024-11-16,Loyal,East,Jharkhand,Ranchi,Existing
145,CUST000145,Customer 000145,Female,35-44,21,2024-09-16,Loyal,South,Telangana,Hyderabad,Existing
146,CUST000146,Customer 000146,Female,25-34,1,2023-05-02,Champions,North,Delhi,Delhi,Existing
147,CUST000147,Customer 000147,Female,45-54,4,2022-02-12,Champions,North,Uttar Pradesh,Noida,Existing
148,CUST000148,Customer 000148,Male,25-34,14,2023-10-16,Occasional,West,Goa,Panaji,Existing
149,CUST000149,Customer 000149,Male,35-44,23,2024-08-23,Occasional,South,Kerala,Kochi,Existing
150,CUST000150,Customer 000150,Male,55+,16,2021-03-12,Low Value,West,Madhya Pradesh,Bhopal,Existing
151,CUST000151,Customer 000151,Male,18-24,28,2025-01-07,Loyal,East,Jharkhand,Ranchi,Existing
152,CUST000152,Customer 000152,Male,45-54,26,2021-05-29,Occasional,East,Odisha,Bhubaneswar,Existing
153,CUST000153,Customer 000153,Female,35-44,7,2024-12-31,Occasional,North,Punjab,Ludhiana,Existing
154,CUST000154,Customer 000154,Male,25-34,10,2024-07-09,Occasional,West,Maharashtra,Pune,Existing
155,CUST000155,Customer 000155,Female,35-44,10,2025-12-28,Occasional,West,Maharashtra,Pune,New
156,CUST000156,Customer 000156,Male,25-34,4,2025-08-03,Loyal,North,Uttar Pradesh,Noida,New
157,CUST000157,Customer 000157,Male,35-44,12,2024-10-12,Potential Loyalist,West,Gujarat,Ahmedabad,Existing
158,CUST000158,Customer 000158,Male,25-34,6,2023-06-28,Potential Loyalist,North,Haryana,Gurugram,Existing
159,CUST000159,Customer 000159,Male,25-34,13,2024-08-21,Loyal,West,Gujarat,Surat,Existing
160,CUST000160,Customer 000160,Male,18-24,21,2025-04-16,Occasional,South,Telangana,Hyderabad,Existing
161,CUST000161,Customer 000161,Female,55+,1,2023-02-16,Loyal,North,Delhi,Delhi,Existing
162,CUST000162,Customer 000162,Female,35-44,8,2021-06-04,Potential Loyalist,North,Rajasthan,Jaipur,Existing
163,CUST000163,Customer 000163,Female,35-44,28,2024-02-14,Loyal,East,Jharkhand,Ranchi,Existing
164,CUST000164,Customer 000164,Other,45-54,23,2023-08-07,Champions,South,Kerala,Kochi,Existing
165,CUST000165,Customer 000165,Male,25-34,16,2022-12-22,Potential Loyalist,West,Madhya Pradesh,Bhopal,Existing
166,CUST000166,Customer 000166,Female,25-34,5,2025-07-09,Occasional,North,Uttar Pradesh,Varanasi,New
167,CUST000167,Customer 000167,Female,45-54,29,2023-12-11,Loyal,Central,Chhattisgarh,Raipur,Existing
168,CUST000168,Customer 000168,Male,25-34,26,2024-01-01,Low Value,East,Odisha,Bhubaneswar,Existing
169,CUST000169,Customer 000169,Male,18-24,26,2025-07-22,Potential Loyalist,East,Odisha,Bhubaneswar,New
170,CUST000170,Customer 000170,Female,35-44,7,2023-07-25,Champions,North,Punjab,Ludhiana,Existing
