ProductKey,ProductID,ProductName,Category,Subcategory,Brand,Supplier,UnitCost,ListPrice,ProductLaunchDate,ProductStatus
1,PRD00001,Grocery & FMCG Snacks Product 0001,Grocery & FMCG,Snacks,Urban,Supplier C,546.73,662.21,2024-02-10,Active
2,PRD00002,Beauty & Personal Care Cosmetics Product 0002,Beauty & Personal Care,Cosmetics,Prime,Supplier B,69.58,100.77,2023-04-06,Active
3,PRD00003,Sports & Lifestyle Fitness Product 0003,Sports & Lifestyle,Fitness,Nova,Supplier D,22100.28,28859.72,2022-07-01,Active
4,PRD00004,Electronics Televisions Product 0004,Electronics,Televisions,Orion,Supplier B,1214.45,1445.48,2023-11-20,Active
5,PRD00005,Home & Kitchen Cookware Product 0005,Home & Kitchen,Cookware,Zenith,Supplier C,25815.42,34938.04,2024-04-30,Active
6,PRD00006,Electronics Smartphones Product 0006,Electronics,Smartphones,Apex,Supplier F,120265.92,145791.72,2022-03-13,Active
7,PRD00007,Beauty & Personal Care Personal Hygiene Product 0007,Beauty & Personal Care,Personal Hygiene,Prime,Supplier E,69.92,139.35,2021-06-28,Active
8,PRD00008,Grocery & FMCG Snacks Product 0008,Grocery & FMCG,Snacks,Apex,Supplier D,224.87,252.3,2022-09-08,Active
9,PRD00009,Home & Kitchen Storage Product 0009,Home & Kitchen,Storage,Prime,Supplier D,4337.26,5645.5,2022-11-08,Active
10,PRD00010,Sports & Lifestyle Outdoor Product 0010,Sports & Lifestyle,Outdoor,Prime,Supplier F,251.72,314.76,2025-02-06,Active
11,PRD00011,Electronics Accessories Product 0011,Electronics,Accessories,Zenith,Supplier D,6750.3,8408.04,2022-09-26,Active
12,PRD00012,Sports & Lifestyle Fitness Product 0012,Sports & Lifestyle,Fitness,Orion,Supplier A,2484.73,4140.12,2024-03-03,Active
13,PRD00013,Home & Kitchen Home Decor Product 0013,Home & Kitchen,Home Decor,Vertex,Supplier C,858.36,1111.4,2023-03-13,Active
14,PRD00014,Electronics Smartphones Product 0014,Electronics,Smartphones,Vertex,Supplier D,1654.06,1843.93,2021-11-08,Active
