StoreKey,StoreID,StoreName,StoreType,GeographyKey,StoreSizeSqFt,OpeningDate,Region,State,City
1,XM1000,Xquizeet Ludhiana Store 01,Supermarket,7,26099,2024-06-26,North,Punjab,Ludhiana
2,XM1001,Xquizeet Coimbatore Store 02,Hypermarket,20,10108,2018-09-18,South,Tamil Nadu,Coimbatore
3,XM1002,Xquizeet Raipur Store 03,Flagship,29,17271,2024-12-11,Central,Chhattisgarh,Raipur
4,XM1003,Xquizeet Indore Store 04,Supermarket,15,12735,2021-08-14,West,Madhya Pradesh,Indore
5,XM1004,Xquizeet Nagpur Store 05,Supermarket,11,14068,2017-06-04,West,Maharashtra,Nagpur
6,XM1005,Xquizeet Jaipur Store 06,Supermarket,8,2949,2023-12-13,North,Rajasthan,Jaipur
7,XM1006,Xquizeet Raipur Store 07,Flagship,29,6323,2020-11-10,Central,Chhattisgarh,Raipur
8,XM1007,Xquizeet Hyderabad Store 08,Hypermarket,21,15489,2019-02-24,South,Telangana,Hyderabad
9,XM1008,Xquizeet Ludhiana Store 09,Express,7,21832,2017-09-03,North,Punjab,Ludhiana
10,XM1009,Xquizeet Bhubaneswar Store 10,Tier-2 Store,26,20392,2021-02-09,East,Odisha,Bhubaneswar
11,XM1010,Xquizeet Chennai Store 11,Supermarket,19,8058,2021-09-02,South,Tamil Nadu,Chennai
12,XM1011,Xquizeet Kochi Store 12,Tier-2 Store,23,11148,2024-09-07,South,Kerala,Kochi
13,XM1012,Xquizeet Nagpur Store 13,Express,11,8300,2018-06-22,West,Maharashtra,Nagpur
14,XM1013,Xquizeet Nagpur Store 14,Tier-2 Store,11,20454,2022-03-06,West,Maharashtra,Nagpur
15,XM1014,Xquizeet Thiruvananthapuram Store 15,Tier-2 Store,24,10774,2022-01-16,South,Kerala,Thiruvananthapuram
16,XM1015,Xquizeet Hyderabad Store 16,Supermarket,21,16051,2019-07-10,South,Telangana,Hyderabad
17,XM1016,Xquizeet Noida Store 17,Hypermarket,4,19539,2023-09-22,North,Uttar Pradesh,Noida
18,XM1017,Xquizeet Jaipur Store 18,Supermarket,8,2054,2018-06-09,North,Rajasthan,Jaipur
