ReturnID,OrderID,ReturnDate,CustomerKey,ProductKey,StoreKey,QuantityReturned,ReturnReasonKey,RefundAmount
1,1199611,2025-10-10,8562,1346,77,1,3,5856.47
2,1031170,2025-09-03,35976,635,114,1,5,21896.28
3,1161444,2025-12-02,31529,974,83,1,2,50557.0
4,1128809,2026-01-06,807,804,3,1,4,3254.63
5,1011440,2025-07-05,41395,2822,27,1,3,31050.34
6,1196923,2025-09-08,9522,275,64,1,1,1736.9
7,1174973,2026-04-07,4501,3000,100,1,4,918.09
8,1047437,2025-11-27,33369,2827,92,1,3,735.52
9,1157685,2026-03-17,13461,2678,95,1,1,4535.65
10,1060936,2026-01-18,39353,1136,113,1,3,1407.39
11,1195456,2025-08-19,32146,1752,75,1,1,1079.61
12,1190465,2026-03-16,8146,263,118,1,5,307.44
13,1185621,2025-07-31,30093,1180,22,1,3,8354.39
14,1050061,2025-09-26,45367,236,115,1,2,2837.53
15,1021059,2025-07-07,27411,24,64,1,5,3239.86
16,1187647,2025-12-02,33783,1180,12,1,1,4418.71
17,1170404,2025-04-05,23782,2838,40,1,2,13704.32
18,1101336,2025-08-28,16748,2205,34,1,5,22835.59
19,1069821,2025-08-29,40484,14,120,1,3,5248.87
20,1091356,2026-03-21,42437,2248,36,1,5,5223.64
21,1076949,2025-07-05,35111,105,8,1,3,261.42
22,1093256,2025-07-03,25263,2857,58,1,5,293079.03
23,1193438,2025-09-28,38708,2003,24,1,3,1101.91
24,1079534,2025-08-02,11011,1161,114,1,2,15170.02
25,1152198,2025-05-13,7620,2138,110,1,3,7201.73
26,1160212,2026-01-15,43318,2642,13,1,3,165637.53
27,1060499,2025-05-15,48979,1729,55,1,2,722.82
28,1184179,2025-07-30,46089,381,116,1,2,1084.1
29,1037320,2026-04-01,5315,2633,116,1,4,4054.7
30,1195199,2025-06-14,8861,2461,115,1,4,9805.59
31,1172218,2026-03-06,14035,1307,60,1,5,34590.4
32,1197491,2026-02-02,12381,32,104,1,4,7680.02
33,1031692,2025-11-15,33209,163,86,1,1,10656.42
34,1150153,2025-12-12,40005,604,42,1,1,2944.56
35,1027466,2026-03-18,46592,900,35,1,4,12986.58
36,1180944,2025-05-03,12442,2223,67,1,5,1299.64
37,1096636,2026-02-02,30213,1940,11,1,4,14568.43
38,1009862,2025-12-25,21504,1039,89,1,1,3984.75
39,1171018,2025-05-10,33156,2927,119,1,2,37565.96
