TargetKey,TargetMonth,StoreKey,Category,RevenueTarget,ProfitTarget,UnitsTarget
1,2025-04-01,1,Electronics,55605.47,9239.95,30
2,2025-04-01,1,Home & Kitchen,52866.75,13286.51,43
3,2025-04-01,1,Fashion,59865.66,12360.73,31
4,2025-04-01,1,Beauty & Personal Care,47328.46,13971.21,24
5,2025-04-01,1,Grocery & FMCG,50521.83,10047.66,27
6,2025-04-01,1,Sports & Lifestyle,34796.1,8575.91,20
7,2025-04-01,2,Electronics,48810.34,7970.61,30
8,2025-04-01,2,Home & Kitchen,42427.26,10884.57,49
9,2025-04-01,2,Fashion,39591.09,6485.07,20
10,2025-04-01,2,Beauty & Personal Care,39815.82,5922.37,20
11,2025-04-01,2,Grocery & FMCG,43927.92,9793.63,30
12,2025-04-01,2,Sports & Lifestyle,20827.45,4118.0,20
13,2025-04-01,3,Electronics,53903.74,9757.61,66
14,2025-04-01,3,Home & Kitchen,52961.19,11847.49,46
15,2025-04-01,3,Fashion,52199.37,12307.75,32
16,2025-04-01,3,Beauty & Personal Care,40167.79,9339.16,30
17,2025-04-01,3,Grocery & FMCG,46488.09,6749.41,22
18,2025-04-01,3,Sports & Lifestyle,29493.62,6246.69,20
19,2025-04-01,4,Electronics,39434.41,6471.98,20
20,2025-04-01,4,Home & Kitchen,42086.18,10904.56,29
21,2025-04-01,4,Fashion,44696.49,7934.05,22
22,2025-04-01,4,Beauty & Personal Care,33271.58,7389.67,20
23,2025-04-01,4,Grocery & FMCG,47744.09,9781.73,20
24,2025-04-01,4,Sports & Lifestyle,25600.57,3607.12,20
25,2025-04-01,5,Electronics,52433.31,10888.09,38
26,2025-04-01,5,Home & Kitchen,43883.07,11166.47,42
27,2025-04-01,5,Fashion,49888.78,11121.59,22
28,2025-04-01,5,Beauty & Personal Care,36265.62,8549.43,28
29,2025-04-01,5,Grocery & FMCG,34901.69,8978.85,27
30,2025-04-01,5,Sports & Lifestyle,21856.22,6288.55,20
31,2025-04-01,6,Electronics,27893.24,6305.71,20
32,2025-04-01,6,Home & Kitchen,24117.38,5578.46,20
33,2025-04-01,6,Fashion,26452.95,4333.59,20
34,2025-04-01,6,Beauty & Personal Care,26849.28,6110.92,28
35,2025-04-01,6,Grocery & FMCG,19916.5,5061.78,20
36,2025-04-01,6,Sports & Lifestyle,16902.05,3118.19,20
37,2025-04-01,7,Electronics,34912.09,7779.62,20
38,2025-04-01,7,Home & Kitchen,32557.78,5120.36,20
39,2025-04-01,7,Fashion,44277.24,7692.28,30
40,2025-04-01,7,Beauty & Personal Care,27935.89,6397.38,20
41,2025-04-01,7,Grocery & FMCG,27543.79,7038.27,20
42,2025-04-01,7,Sports & Lifestyle,16320.53,3441.3,20
43,2025-04-01,8,Electronics,42427.83,6906.56,20
44,2025-04-01,8,Home & Kitchen,44861.23,6494.15,28
45,2025-04-01,8,Fashion,44000.23,10328.29,47
46,2025-04-01,8,Beauty & Personal Care,36265.43,9600.7,20
47,2025-04-01,8,Grocery & FMCG,48421.42,10545.79,21
48,2025-04-01,8,Sports & Lifestyle,23837.96,6560.24,20
49,2025-04-01,9,Electronics,54979.68,10302.06,30
50,2025-04-01,9,Home & Kitchen,57650.55,11741.94,36
51,2025-04-01,9,Fashion,58370.88,12076.52,33
52,2025-04-01,9,Beauty & Personal Care,47967.64,10458.98,23
53,2025-04-01,9,Grocery & FMCG,38785.46,9341.22,31
54,2025-04-01,9,Sports & Lifestyle,24868.93,4579.1,20
55,2025-04-01,10,Electronics,46690.73,12985.42,21
56,2025-04-01,10,Home & Kitchen,55185.25,11094.69,27
57,2025-04-01,10,Fashion,59112.06,12523.75,28
58,2025-04-01,10,Beauty & Personal Care,42221.67,7843.42,40
59,2025-04-01,10,Grocery & FMCG,45064.55,10213.87,31
60,2025-04-01,10,Sports & Lifestyle,28551.21,5656.08,21
61,2025-04-01,11,Electronics,42379.08,8110.34,20
62,2025-04-01,11,Home & Kitchen,39926.26,10333.99,30
63,2025-04-01,11,Fashion,44785.41,8303.49,50
64,2025-04-01,11,Beauty & Personal Care,32527.58,7582.2,20
65,2025-04-01,11,Grocery & FMCG,38981.0,10791.8,46
66,2025-04-01,11,Sports & Lifestyle,21072.87,4946.84,20
67,2025-04-01,12,Electronics,39206.07,7908.98,20
68,2025-04-01,12,Home & Kitchen,45262.38,8134.09,30
69,2025-04-01,12,Fashion,51181.53,10543.42,21
70,2025-04-01,12,Beauty & Personal Care,31246.9,5283.75,25
71,2025-04-01,12,Grocery & FMCG,40540.46,8344.33,20
72,2025-04-01,12,Sports & Lifestyle,20148.61,4629.17,20
73,2025-04-01,13,Electronics,34351.19,4889.37,28
74,2025-04-01,13,Home & Kitchen,35047.05,8271.25,20
75,2025-04-01,13,Fashion,43297.36,10455.6,44
76,2025-04-01,13,Beauty & Personal Care,35567.31,6982.02,20
77,2025-04-01,13,Grocery & FMCG,38179.31,9439.6,20
78,2025-04-01,13,Sports & Lifestyle,21369.76,5543.06,20
79,2025-04-01,14,Electronics,59513.41,16366.39,69
80,2025-04-01,14,Home & Kitchen,49527.83,14583.7,32
81,2025-04-01,14,Fashion,56567.57,13296.93,36
82,2025-04-01,14,Beauty & Personal Care,46320.97,13811.42,48
83,2025-04-01,14,Grocery & FMCG,48081.34,13038.24,27
84,2025-04-01,14,Sports & Lifestyle,27270.18,6978.45,28
85,2025-04-01,15,Electronics,37001.62,7786.54,30
86,2025-04-01,15,Home & Kitchen,42792.77,6602.41,20
87,2025-04-01,15,Fashion,45054.93,10271.2,40
88,2025-04-01,15,Beauty & Personal Care,45407.43,6656.46,24
89,2025-04-01,15,Grocery & FMCG,34630.92,5263.87,20
90,2025-04-01,15,Sports & Lifestyle,24512.54,6720.26,20
91,2025-04-01,16,Electronics,49808.62,11976.94,26
92,2025-04-01,16,Home & Kitchen,45784.5,11736.5,33
93,2025-04-01,16,Fashion,49630.86,14277.27,48
94,2025-04-01,16,Beauty & Personal Care,40958.89,7390.75,20
95,2025-04-01,16,Grocery & FMCG,45169.73,10016.56,20
96,2025-04-01,16,Sports & Lifestyle,27132.91,7292.24,22
97,2025-04-01,17,Electronics,40562.36,10144.44,20
98,2025-04-01,17,Home & Kitchen,50907.69,13948.8,28
99,2025-04-01,17,Fashion,59187.69,13244.11,50
100,2025-04-01,17,Beauty & Personal Care,45804.72,13493.75,21
101,2025-04-01,17,Grocery & FMCG,55714.01,15815.85,30
